,Round,Seed,Opp_1,Opp_2,Opp_3,Opp_4,Opp_5,Opp_6,Final Rd,Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Non-Conf SOS,Year
591,5,2,Bradley,Minnesota,LSU,Duke,Texas Tech,,Upset,Michigan St.,B10,32.0,121.0,90.2,66.9,0.001,110.6,96.9,3.24,2019
592,2,7,Davidson,Duke,,,,,No Upset,Michigan St.,B10,23.0,111.9,97.1,67.5,0.052,109.4,98.5,3.91,2022
593,2,15,Michigan State,Syracuse,,,,,No Upset,Middle Tennessee,CUSA,25.0,104.6,99.9,67.6,0.088,105.5,106.1,2.11,2016
594,2,12,Minnesota,Butler,,,,,No Upset,Middle Tennessee,CUSA,31.0,112.2,97.2,64.6,0.011,104.4,105.3,3.86,2017
595,1,12,Notre Dame,,,,,,No Upset,Milwaukee,Horz,23.0,109.0,96.0,71.2,0.025,104.8,102.8,1.05,2003
596,3,12,Alabama,Boston College,Illinois,,,,No Upset,Milwaukee,Horz,26.0,110.1,95.4,68.8,0.079,104.6,102.3,7.63,2005
597,2,11,Oklahoma,Florida,,,,,No Upset,Milwaukee,Horz,22.0,108.3,96.5,67.7,0.017,104.9,103.4,4.95,2006
598,1,15,Villanova,,,,,,No Upset,Milwaukee,Horz,21.0,104.7,104.6,65.8,0.119,104.4,104.4,-2.92,2014
599,1,8,Iowa State,,,,,,Upset,Minnesota,B10,21.0,104.0,89.9,67.3,0.016,106.0,99.8,-3.99,2005
600,1,10,Texas,,,,,,No Upset,Minnesota,B10,22.0,108.1,92.6,64.5,0.031,107.4,98.9,-4.18,2009
601,1,11,Xavier,,,,,,No Upset,Minnesota,B10,21.0,112.0,94.1,65.6,-0.055,107.7,99.3,-3.72,2010
602,2,11,UCLA,Florida,,,,,No Upset,Minnesota,B10,21.0,114.8,95.0,62.3,-0.036,108.5,97.3,2.07,2013
603,1,5,Middle Tennessee,,,,,,Upset,Minnesota,B10,24.0,109.7,93.7,69.5,0.022,108.9,100.8,-1.81,2017
604,2,10,Louisville,Michigan State,,,,,No Upset,Minnesota,B10,22.0,111.4,97.0,67.4,0.086,110.2,98.0,-2.91,2019
605,1,9,UCLA,,,,,,No Upset,Mississippi,SEC,19.0,113.3,96.7,64.7,-0.04,105.9,98.6,-6.23,2002
606,2,12,Wisconsin,La Salle,,,,,Upset,Mississippi,SEC,27.0,112.3,95.3,69.2,-0.011,103.4,100.2,-7.55,2013
607,1,11,Xavier,,,,,,No Upset,Mississippi,SEC,21.0,114.5,100.6,66.2,-0.033,107.3,100.2,-1.19,2015
608,1,8,Oklahoma,,,,,,Upset,Mississippi,SEC,20.0,113.2,99.2,68.5,-0.007,109.1,100.4,-1.11,2019
609,2,3,McNeese State,Texas,,,,,Upset,Mississippi St.,SEC,27.0,111.4,93.1,67.9,0.107,106.7,97.7,-0.96,2002
610,1,5,Butler,,,,,,Upset,Mississippi St.,SEC,21.0,107.4,85.8,64.8,-0.06,106.9,98.0,-2.62,2003
611,2,2,Monmouth,Xavier,,,,,Upset,Mississippi St.,SEC,26.0,114.7,92.9,68.1,0.021,106.3,99.9,-1.89,2004
612,2,9,Stanford,Duke,,,,,No Upset,Mississippi St.,SEC,23.0,109.3,94.0,68.1,0.038,106.9,100.4,-1.84,2005
613,2,8,Oregon,Memphis,,,,,No Upset,Mississippi St.,SEC,23.0,108.2,91.5,66.6,-0.043,108.1,101.8,-1.48,2008
614,1,13,Washington,,,,,,No Upset,Mississippi St.,SEC,23.0,107.8,96.2,67.2,-0.004,105.3,100.3,-3.07,2009
615,1,5,Liberty,,,,,,Upset,Mississippi St.,SEC,23.0,117.7,97.6,67.8,-0.038,110.1,100.0,2.22,2019
616,1,16,UCLA,,,,,,No Upset,Mississippi Valley St.,SWAC,17.0,91.9,107.1,63.0,0.115,96.7,107.7,13.04,2008
617,4,12,Miami (FL),Ohio State,UCLA,Oklahoma,,,No Upset,Missouri,B12,24.0,116.2,98.7,70.1,-0.01,108.0,100.0,-0.39,2002
618,2,6,Southern Illinois,Marquette,,,,,No Upset,Missouri,B12,22.0,111.5,94.2,66.9,0.043,107.1,95.9,2.97,2003
619,4,3,Cornell,Marquette,Memphis,Connecticut,,,No Upset,Missouri,B12,31.0,116.6,91.8,70.9,0.031,106.4,98.4,-3.76,2009
620,2,10,Clemson,West Virginia,,,,,No Upset,Missouri,B12,23.0,111.5,91.5,68.8,-0.035,107.1,98.9,-6.1,2010
621,1,11,Cincinnati,,,,,,No Upset,Missouri,B12,23.0,113.4,97.8,70.7,-0.013,106.9,100.4,-4.76,2011
622,1,2,Norfolk State,,,,,,Upset,Missouri,B12,30.0,125.1,99.8,65.4,0.017,105.7,99.9,-6.18,2012
623,1,9,Colorado State,,,,,,No Upset,Missouri,SEC,23.0,114.9,96.4,66.3,-0.032,105.1,99.5,-2.02,2013
624,1,8,Florida State,,,,,,Upset,Missouri,SEC,20.0,111.9,97.0,65.7,-0.025,109.8,100.2,1.07,2018
625,1,9,Oklahoma,,,,,,No Upset,Missouri,SEC,16.0,110.6,95.5,68.4,0.07,110.2,94.4,11.39,2021
626,1,15,Mississippi State,,,,,,No Upset,Monmouth,NEC,21.0,98.1,102.1,66.0,0.112,100.6,107.3,2.53,2004
627,1,16,Villanova,,,,,,No Upset,Monmouth,NEC,19.0,95.8,96.4,64.6,0.018,101.2,104.7,4.12,2006
628,1,15,Oregon,,,,,,No Upset,Montana,BSky,14.0,102.4,106.9,68.5,0.053,103.2,105.2,0.44,2002
629,1,16,Washington,,,,,,No Upset,Montana,BSky,18.0,99.9,102.6,68.2,0.049,100.4,104.8,4.56,2005
630,2,12,Nevada,Boston College,,,,,No Upset,Montana,BSky,24.0,111.6,102.7,66.2,0.056,103.6,104.2,-0.71,2006
631,1,14,New Mexico,,,,,,No Upset,Montana,BSky,22.0,106.5,98.4,62.0,-0.042,103.4,105.6,-0.86,2010
632,1,13,Wisconsin,,,,,,No Upset,Montana,BSky,25.0,103.7,96.9,64.2,0.064,102.5,107.8,-0.72,2012
